date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:10:41	41478/41478	---M--	200	added ('OK')	text/html	etag:%229c4054-a206-406a04a01ab40%22	http://www.cs.cf.ac.uk/Dave/C/node1.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node1.html	(from )
20:10:41	0/0	---M--	200	added ('OK')	text/plain	etag:%221bbd7f-0-4755e47fd4980%22	http://www.cs.cf.ac.uk/robots.txt		(from )
20:10:41	913/913	---M--	200	added ('OK')	text/css	etag:%229c412b-391-43a7b2e98d900%22	http://www.cs.cf.ac.uk/Dave/C/C.css	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/C.css	(from )
20:10:42	21837/21837	---M--	200	added ('OK')	text/html	etag:%229c402f-554d-406a04a10ed80%22	http://www.cs.cf.ac.uk/Dave/C/node2.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node2.html	(from )
20:10:43	20722/20722	---M--	200	added ('OK')	text/html	etag:%229c4190-50f2-406a04a202fc0%22	http://www.cs.cf.ac.uk/Dave/C/node3.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node3.html	(from )
20:10:43	7204/7204	---M--	200	added ('OK')	text/html	etag:%229c418c-1c24-406a04a10ed80%22	http://www.cs.cf.ac.uk/Dave/C/node5.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node5.html	(from )
20:10:44	22679/22679	---MC-	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202012%2014:32:15%20GMT	http://www.cs.cf.ac.uk/Dave/C/node4.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node4.html	(from )
20:10:44	11990/11990	---M--	200	added ('OK')	text/html	etag:%229c40da-2ed6-406a04a10ed80%22	http://www.cs.cf.ac.uk/Dave/C/node6.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node6.html	(from )
20:10:44	5643/5643	---M--	200	added ('OK')	text/html	etag:%229c416d-160b-406a04a10ed80%22	http://www.cs.cf.ac.uk/Dave/C/node7.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node7.html	(from )
20:10:45	13355/13355	---M--	200	added ('OK')	text/html	etag:%229c4019-342b-406a04a10ed80%22	http://www.cs.cf.ac.uk/Dave/C/node8.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node8.html	(from )
20:10:45	11468/11468	---M--	200	added ('OK')	text/html	etag:%229c4145-2ccc-406a04a10ed80%22	http://www.cs.cf.ac.uk/Dave/C/node9.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node9.html	(from )
20:10:46	21740/21740	---M--	200	added ('OK')	text/html	etag:%229c408e-54ec-406a04a10ed80%22	http://www.cs.cf.ac.uk/Dave/C/node10.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node10.html	(from )
20:10:46	11925/11925	---M--	200	added ('OK')	text/html	etag:%229c4052-2e95-406a04a10ed80%22	http://www.cs.cf.ac.uk/Dave/C/node11.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node11.html	(from )
20:10:46	11059/11059	---M--	200	added ('OK')	text/html	etag:%229c4186-2b33-406a04a10ed80%22	http://www.cs.cf.ac.uk/Dave/C/node12.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node12.html	(from )
20:10:47	12529/12529	---M--	200	added ('OK')	text/html	etag:%229c4020-30f1-48364abf87e00%22	http://www.cs.cf.ac.uk/Dave/C/node13.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node13.html	(from )
20:10:47	10294/10294	---M--	200	added ('OK')	text/html	etag:%229c4126-2836-406a04a3eb440%22	http://www.cs.cf.ac.uk/Dave/C/node14.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node14.html	(from )
20:10:48	5260/5260	---M--	200	added ('OK')	text/html	etag:%229c4069-148c-406a04a10ed80%22	http://www.cs.cf.ac.uk/Dave/C/node15.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node15.html	(from )
20:10:48	11127/11127	---M--	200	added ('OK')	text/html	etag:%229c4192-2b77-406a04a10ed80%22	http://www.cs.cf.ac.uk/Dave/C/node16.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node16.html	(from )
20:10:48	6256/6256	---M--	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202012%2014:32:21%20GMT	http://www.cs.cf.ac.uk/Dave/C/node17.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node17.html	(from )
20:10:49	22812/22812	---M--	200	added ('OK')	text/html	etag:%229c4090-591c-406a04a10ed80%22	http://www.cs.cf.ac.uk/Dave/C/node18.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node18.html	(from )
20:10:50	13421/13421	---M--	200	added ('OK')	text/html	etag:%229c4013-346d-406a04a10ed80%22	http://www.cs.cf.ac.uk/Dave/C/node19.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node19.html	(from )
20:10:50	16526/16526	---M--	200	added ('OK')	text/html	etag:%229c4158-408e-406a04a10ed80%22	http://www.cs.cf.ac.uk/Dave/C/node20.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node20.html	(from )
20:10:50	7169/7169	---M--	200	added ('OK')	text/html	etag:%229c411d-1c01-406a04a10ed80%22	http://www.cs.cf.ac.uk/Dave/C/node21.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node21.html	(from )
20:10:51	10935/10935	---M--	200	added ('OK')	text/html	etag:%229c4050-2ab7-406a04a202fc0%22	http://www.cs.cf.ac.uk/Dave/C/node22.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node22.html	(from )
20:10:51	9489/9489	---M--	200	added ('OK')	text/html	etag:%229c405c-2511-48030460ec040%22	http://www.cs.cf.ac.uk/Dave/C/node23.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node23.html	(from )
20:10:52	12603/12603	---M--	200	added ('OK')	text/html	etag:%229c400e-313b-406a04a202fc0%22	http://www.cs.cf.ac.uk/Dave/C/node24.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node24.html	(from )
20:10:52	35217/35217	---M--	200	added ('OK')	text/html	etag:%229c41ad-8991-406a04a202fc0%22	http://www.cs.cf.ac.uk/Dave/C/node25.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node25.html	(from )
20:10:53	41421/41421	---M--	200	added ('OK')	text/html	etag:%229c402e-a1cd-406a04a202fc0%22	http://www.cs.cf.ac.uk/Dave/C/node26.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node26.html	(from )
20:10:55	38865/38865	---M--	200	added ('OK')	text/html	etag:%229c4067-97d1-406a04a202fc0%22	http://www.cs.cf.ac.uk/Dave/C/node27.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node27.html	(from )
20:10:55	15839/15839	---M--	200	added ('OK')	text/html	etag:%229c40bf-3ddf-406a04a202fc0%22	http://www.cs.cf.ac.uk/Dave/C/node28.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node28.html	(from )
20:10:57	73318/73318	---M--	200	added ('OK')	text/html	etag:%229c4070-11e66-406a04a202fc0%22	http://www.cs.cf.ac.uk/Dave/C/node29.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node29.html	(from )
20:10:59	45840/45840	---M--	200	added ('OK')	text/html	etag:%229c4128-b310-406a04a202fc0%22	http://www.cs.cf.ac.uk/Dave/C/node31.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node31.html	(from )
20:11:02	115599/115599	---M--	200	added ('OK')	text/html	etag:%229c4068-1c38f-406a04a202fc0%22	http://www.cs.cf.ac.uk/Dave/C/node32.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node32.html	(from )
20:11:04	29178/29178	---MC-	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202012%2014:32:29%20GMT	http://www.cs.cf.ac.uk/Dave/C/node30.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node30.html	(from )
20:11:04	36343/36343	---M--	200	added ('OK')	text/html	etag:%229c41a0-8df7-406a04a202fc0%22	http://www.cs.cf.ac.uk/Dave/C/node33.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node33.html	(from )
20:11:05	29376/29376	---M--	200	added ('OK')	text/html	etag:%229c413b-72c0-406a04a202fc0%22	http://www.cs.cf.ac.uk/Dave/C/node34.html	C:/My%20Web%20Sites/Dave/www.cs.cf.ac.uk/Dave/C/node34.html	(from )
